activity_name,category
Stainless steel - tube pipe fittings beams billets rails tubes,Metals
Reinforcing steel in bars,Fabricated Metal Products
News dealers and newsstands,General Retail
Balconies,Construction
Home health equipment rental,Consumer Goods Rental
Residues MSWI-WWT-SLF waste emulsion paint (market for residues MSWI-WWT-SLF waste emulsion paint),Waste Management
Barium sulfide (market for barium sulfide),Chemical Products
Ethylene bromide (market for ethylene bromide),Chemical Products
Broadcasting and online games distribution services,Information and Communication Services
Television broadcasting,Recreation and Culture
Weaned calves - live weight (market for weaned calves - live weight),Livestock Farming
Concrete normal strength (market for concrete normal strength),Building Materials
Flax husks (market for flax husks),Arable Farming
Pyrochlore concentrate (market for pyrochlore concentrate),Metals
Concrete - average UK cement replacement rate - with total cementitious content of 120 kg per m3 of concrete,Building Materials
Saw blade and handtool manufacturing,Fabricated Metal Products
Soaps and cleaning compounds,Personal Care and Accessories
Bottom ash MSWI-WWT-SLF waste polystyrene (market for bottom ash MSWI-WWT-SLF waste polystyrene),Waste Management
Phthalic anhydride (market for phthalic anhydride),Chemical Products
Sawlog and veneer log - softwood - debarked - measured as solid wood (market for sawlog and veneer log - softwood - debarked - measured as solid wood),Timber and Forestry Products
Bagasse - from sugarcane (market for bagasse - from sugarcane),Arable Farming
Powertrain - for electric passenger car (market for powertrain - for electric passenger car),Vehicle Parts
Support activities for animal production,Agriculture/Hunting/Forestry/Fishing
Cement CEM II/B (market for cement CEM II/B),Building Materials
Natural gas service station (market for natural gas service station),Construction
Iron (iii) chloride - without water - in 40% solution state (market for iron (III) chloride - without water - in 40% solution state),Chemical Products
Glass - Multi layer safety - filled core - fire resistant - toughened - per kg,Glass and Glass Products
Pickled onions,Food/Beverages/Tobacco
Metal tank (heavy gauge) manufacturing,Fabricated Metal Products
Stocks/food colourings and flavourings,Food/Beverages/Tobacco
Isophorondiisocyante (market for isophorondiisocyante),Chemical Products
Cathode-ray tube - cathode ray tube display (market for cathode-ray tube - cathode ray tube display),Electronics
Nuts,Arable Farming
Bottom ash MSWI waste paint (market for bottom ash MSWI waste paint),Waste Management
Public administration and defense services/compulsory social security services,Government Activities
Specialty transformers,Electrical Equipment
"2,4-di-tert-butylphenol (market for 2,4-di-tert-butylphenol)",Chemical Products
Coated aluminum profile,Fabricated Metal Products
Other livestock,Livestock Farming
Fertilisers containing NPK,Chemical Products
Other motion picture and video industries,Recreation and Culture
Other basic inorganic chemicals and nuclear fuel,Chemical Products
Chicken PE tray with PE film,Food/Beverages/Tobacco
Postal and courier services,Information and Communication Services
Light commercial vehicle (market for light commercial vehicle),Vehicles
Dishwasher (market for dishwasher),Electrical Equipment
Crushed and broken limestone mining and quarrying,Mined Materials
Aluminium - in mixed metal scrap (market for aluminium - in mixed metal scrap),Waste Management
Desktop,Electronics
Marine gas oil,Fuel
Soybean - swiss integrated production (market for soybean - Swiss integrated production),Arable Farming
Lead/zinc and tin ores and concentrates,Mined Materials
Chromite ore concentrate (market for chromite ore concentrate),Metals
Section bar rolling - steel (market for section bar rolling - steel),Metals
Bromine (market for bromine),Chemical Products
Equipment for pets and domestic livestock,General Retail
Ion-exchanger for water treatment (market for ion-exchanger for water treatment),Construction
Resistor - wirewound - through-hole mounting (market for resistor - wirewound - through-hole mounting),Electronics
Concrete - 50% ggbs cement replacement - with total cementitious content of 460 kg per m3 of concrete,Building Materials
Scrap preparation facility (market for scrap preparation facility),Construction
Aluminium alloy - metal matrix composite (market for aluminium alloy - metal matrix composite),Metals
Core board (market for core board),Paper and Cardboard
Average plastics (open-loop recycled source),Plastics and Rubber Products
Oranges,Arable Farming
Radio and television,Recreation and Culture
Nickel-rich materials (market for nickel-rich materials),Metals
Wood preservative - water-based - outdoor use - no ground contact (market for wood preservative - water-based - outdoor use - no ground contact),Chemical Products
Corrugated paper,Paper Products
Wholesale and retail trade and repair services of motor vehicles and motorcycles,Wholesale Trade
Aircraft - passenger - long haul (market for aircraft - passenger - long haul),Vehicles
Coal - domestic,Fuel
Soda ash light (market for soda ash light),Chemical Products
Liquefied petroleum gas (market for liquefied petroleum gas),Fuel
Casting - bronze (market for casting - bronze),Metals
Contouring - brass (market for contouring - brass),Metals
Sodium borates (market for sodium borates),Mined Materials
Heat and power co-generation unit - 200kw electrical - components for heat only (market for heat and power co-generation unit - 200kW electrical - components for heat only),Construction
Residues MSWI[F] waste expanded polystyrene (market for residues MSWI[F] waste expanded polystyrene),Waste Management
Sewage sludge 97% water WWT WW from liquid crystal production (market for sewage sludge 97% water WWT WW from liquid crystal production),Waste Management
Offices of podiatrists,Health Care
Cement CEM IV/A (market for cement CEM IV/A),Building Materials
Tenant-occupied housing,Housing
Services incidental to mining and manufacturing,Mining
Impact extrusion of aluminium - 1 stroke (market for impact extrusion of aluminium - 1 stroke),Metals
Contributions to savings,Financial Services
Conventional crude oil,Fuel
Lorry - 40 metric ton (market for lorry - 40 metric ton),Vehicles
Photovoltaic slanted-roof installation - 3kwp - cdte - laminated - integrated - on roof (market for photovoltaic slanted-roof installation - 3kWp - CdTe - laminated - integrated - on roof),Construction
Residues MSWI[F]-WWT-SLF refinery sludge (market for residues MSWI[F]-WWT-SLF refinery sludge),Waste Management
Hydropower plant - run-of-river (market for hydropower plant - run-of-river),Construction
Metal windows/doors and architectural products,Fabricated Metal Products
Claims adjusting,Insurance Services
Methyl formate (market for methyl formate),Chemical Products
Diagnostic imaging centers,Health Care
Motor vehicle steering/suspension components (except spring) and brake systems,Vehicle Parts
Automotive fuels - retail margins,General Retail
Europium oxide (market for europium oxide),Metals
Aviation fuel,Fuel
Other appliances/articles and products for personal care,Personal Care and Accessories
Inorganic potassium fertiliser - as k2o (market for inorganic potassium fertiliser - as K2O),Organic Products
Silicon - multi-si - casted (market for silicon - multi-Si - casted),Chemical Products
Hard coal briquettes factory (market for hard coal briquettes factory),Construction
Nylon 6 (market for nylon 6),Chemical Products
Petrol - 4% etbe additive by volume - with ethanol from biomass (market for petrol - 4% ETBE additive by volume - with ethanol from biomass),Fuel
Olive oil glass bottle with aluminium lid,Food/Beverages/Tobacco
Sawnwood - lath - softwood - dried (u=10%) - planed (market for sawnwood - lath - softwood - dried (u=10%) - planed),Timber and Forestry Products
Activated carbon - granular (market for activated carbon - granular),Chemical Products
Battery cell Li-ion LiMn2O4 (market for battery cell Li-ion LiMn2O4),Electronics
Ceramic factory (market for ceramic factory),Construction
Ice manufacturing,Food/Beverages/Tobacco
Salt (market for salt),Mined Materials
Chromium steel removed by turning - average - computer numerical controlled (market for chromium steel removed by turning - average - computer numerical controlled),Metals
Spinach,Arable Farming
Peanuts,Arable Farming
Cement Portland SR3 (market for cement Portland SR3),Building Materials
Beef and veal (fresh / chilled or frozen),Livestock Farming
Fabrics,Textiles
Other miscellaneous durable goods merchant wholesalers,Wholesale Trade
Fatty acid methyl ester (market for fatty acid methyl ester),Fuel
Anionic resin (market for anionic resin),Chemical Products
